num_vertices,num_faces,bounding_box
201,340,[0.90972 1.      0.90972]
8761,16960,[0.95585053 1.         0.96094842]
1878,6173,[0.61270737 1.         0.63348632]
778,1457,[0.36072211 1.         0.36072526]
425,824,[0.37323684 1.         0.37323684]
1252,2305,[0.61746    1.         0.61511579]
178,344,[0.72202211 1.         0.72202211]
1093,1930,[0.68326211 1.         0.68326316]
3174,6000,[0.60660737 1.         0.60660737]
742,1375,[0.31271474 0.34707895 1.        ]
3055,6274,[0.30219579 0.41566421 1.        ]
795,1382,[0.31230842 0.34732421 1.        ]
432,640,[1.         0.37916105 0.26173474]
1097,1976,[1.         0.28033368 0.29476   ]
12987,24466,[0.19294737 0.20446632 1.        ]
3298,6348,[1.         0.37014947 0.32381158]
14865,21021,[0.98021042 1.         0.60235977]
20462,42064,[1.         0.93512608 0.39760656]
10710,21140,[1.         0.73616199 0.33140541]
11745,19380,[1.         0.93194065 0.72552992]
5934,9480,[1.         0.49710571 0.39839933]
2006,3008,[1.         0.58536452 0.61074649]
1294,2540,[1.         0.88217982 0.72714094]
15670,25206,[1.         0.68897325 0.54958119]
1598,2579,[1.         0.88086807 0.33434227]
30598,64688,[1.         0.51809812 0.49887251]
4282,7980,[1.         0.62017889 0.67521608]
11752,19380,[1.         0.99451329 0.65317942]
12682,15557,[1.         0.77579058 0.63497093]
8240,13684,[1.         0.60436746 0.29601229]
795,1158,[0.98440365 1.         0.79248957]
1327,2163,[1.         0.6867868  0.28616213]
15670,25206,[1.         0.68556408 0.54725171]
4847,9069,[1.         0.69742949 0.55737535]
6689,7983,[1.         0.61744295 0.66541625]
4156,7140,[0.93710756 1.         0.55929497]
2022,3672,[0.80003053 1.         0.5787    ]
8301,12810,[0.33942    1.         0.28558421]
2335,4363,[0.20212632 1.         0.23844526]
18409,34877,[0.14565368 0.34080105 1.        ]
18143,33836,[0.24199895 0.36436105 1.        ]
19505,37072,[0.16474737 0.37383789 1.        ]
5814,10893,[0.15153263 0.36047579 1.        ]
18878,36278,[0.12522421 0.38362421 1.        ]
477,950,[0.53899895 0.50022211 1.        ]
44,1680,[0.21052632 0.21052632 1.        ]
1606,3208,[0.34070947 0.40281579 1.        ]
216,337,[0.17097895 0.44041684 1.        ]
241,478,[0.11186947 0.76229263 1.        ]
1112,1792,[1.         0.73635895 0.79182947]
247,444,[1.      0.54746 0.162  ]
1004,1930,[0.39454316 0.6101     1.        ]
4117,8196,[0.44284737 0.55005579 1.        ]
14000,27996,[1.         0.23652632 0.38314526]
553,1098,[1.         0.26686211 0.17097895]
317,560,[0.34981579 0.25239579 1.        ]
320,560,[0.45201579 0.25376421 1.        ]
420,836,[0.31683158 0.36477368 1.        ]
331,590,[0.45389789 0.25034526 1.        ]
285,564,[1.         0.6167     0.36966421]
162,336,[0.34679474 0.31220632 1.        ]
298,512,[0.54040421 0.28874842 1.        ]
1583,3164,[0.39045263 0.34541053 1.        ]
11578,23022,[1.         0.40315158 0.61705579]
468,734,[1.         0.51752632 0.42440105]
166,226,[1.         0.24333789 0.29048211]
1104,2104,[1.         0.29882421 0.41158   ]
857,1673,[0.41 0.28 1.  ]
1867,3590,[1.         0.89682156 0.36228917]
1926,3644,[1.         0.75743299 0.34105708]
12384,24612,[1.         0.85872221 0.55664862]
7218,14204,[1.         0.92193157 0.47894217]
17296,34247,[1.         0.94247949 0.64581732]
2277,4536,[1.         0.51084765 0.38249245]
3238,6272,[1.         0.5548735  0.42126896]
2644,5259,[1.         0.94156955 0.33469672]
7442,14796,[1.         0.56153947 0.57635624]
12236,24736,[1.        0.7378062 0.4242406]
7136,13868,[1.         0.70506475 0.43982691]
415,838,[1.         0.71779414 0.43555201]
6349,12251,[1.         0.92819757 0.4509044 ]
826,1628,[1.         0.78408242 0.3288901 ]
3752,7443,[1.         0.54696453 0.41462867]
447,684,[1.         0.80881763 0.44856494]
1563,3154,[1.         0.51182855 0.52622479]
16364,32648,[1.         0.86908206 0.38598883]
12375,23918,[1.         0.87831716 0.49628692]
344,624,[1.         0.68476598 0.43162843]
8116,15659,[0.75263579 0.82987158 1.        ]
449,644,[0.49384105 0.49383895 1.        ]
441,584,[0.73367789 0.44258316 1.        ]
4597,9038,[1.         0.91408632 0.98569263]
706,1388,[0.98021789 1.         0.48942526]
437,724,[0.78356211 0.90971263 1.        ]
363,572,[0.81362842 0.53868632 1.        ]
2769,5049,[1.         0.67162882 0.20689939]
2192,4448,[1.         0.56274062 0.30435398]
25426,50650,[1.         0.63154861 0.33244592]
16416,32265,[1.         0.60522721 0.34506995]
22674,44740,[1.         0.71787196 0.38347263]
56754,111471,[1.         0.62937304 0.26874473]
6951,12939,[1.         0.67013256 0.21236318]
29824,60488,[1.         0.64520499 0.4700537 ]
34292,64544,[1.         0.65018878 0.35701562]
19417,37661,[1.         0.57550495 0.26648282]
436,916,[1.         0.62323006 0.29014287]
2769,5049,[1.         0.67876921 0.20705754]
22495,44110,[1.         0.62599683 0.30407358]
2877,5484,[1.         0.81214597 0.31695422]
23397,45925,[1.         0.62576674 0.30409135]
22672,44707,[1.         0.69311585 0.37938134]
5354,10548,[1.         0.64651377 0.20251146]
29021,57224,[1.         0.79221635 0.3923035 ]
32603,64230,[1.         0.61283708 0.32134284]
6045,12065,[1.         0.59915647 0.22153102]
524,846,[0.40153474 0.57033263 1.        ]
2192,4448,[1.         0.56067684 0.30428526]
6049,12065,[1.         0.51415684 0.21824526]
436,916,[0.28913158 0.57865579 1.        ]
22682,44727,[1.         0.62215368 0.36950632]
2769,5049,[1.         0.61754316 0.20902737]
3242,6326,[1.         0.50813261 0.20247572]
287,348,[1.         0.66944205 0.2029381 ]
4566,8057,[1.         0.99435316 0.28355793]
2584,3764,[1.         0.75813504 0.29677932]
5022,9353,[1.         0.51830148 0.16756064]
512,916,[1.         0.91683921 0.53193148]
22419,41567,[0.72926064 1.         0.2929404 ]
9723,17476,[1.         0.59723089 0.23066857]
5941,12536,[0.80628257 1.         0.32809768]
2167,4254,[1.         0.61365281 0.21067075]
23374,46318,[1.         0.69186084 0.26340148]
5379,10522,[0.90000958 1.         0.32486392]
17850,36024,[1.         0.7852515  0.48998183]
17875,37102,[1.         0.47192429 0.19095544]
624,1024,[0.78723822 1.         0.2959992 ]
40788,77264,[1.         0.79321091 0.30781921]
469,794,[1.         0.99540483 0.2322617 ]
18832,37292,[0.73520915 1.         0.28234471]
24430,47490,[1.         0.90504498 0.3276879 ]
26728,49863,[1.         0.69540153 0.22940742]
10676,20408,[1.         0.21749789 0.52829895]
863,1550,[1.         0.37297368 0.83186421]
65722,129881,[1.         0.36319684 0.90962   ]
1062,1913,[0.80762947 1.         0.31973579]
6704,11577,[0.95865263 1.         0.29423053]
1015,1756,[0.70807895 1.         0.30887053]
