num_vertices,num_faces,face_types,bounding_box
44,1680,triangles,[0.2  0.2  0.95]
476,864,triangles,[0.902106 0.581166 0.95    ]
366,728,triangles,[0.381048 0.539283 0.95    ]
442,720,triangles,[0.821817 0.720102 0.927219]
522,1280,triangles,[0.791667 0.95     0.316667]
345,672,triangles,[0.633333 0.95     0.633333]
345,672,triangles,[0.633333 0.95     0.633333]
368,688,triangles,[0.781396 0.781392 0.95    ]
616,1216,triangles,[0.678571 0.95     0.72381 ]
1015,1920,triangles,[0.60396  0.583372 0.95    ]
1015,1920,triangles,[0.60396  0.583372 0.95    ]
368,688,triangles,[0.781396 0.781392 0.95    ]
616,1216,triangles,[0.678571 0.95     0.72381 ]
278,552,triangles,[0.93464  0.871862 0.95    ]
960,1856,triangles,[1.854308 0.979487 0.945325]
313,580,triangles,[0.813636 0.95     0.433987]
313,800,triangles,[0.819015 0.95     0.433932]
548,1024,triangles,[0.542857  0.95      0.0271429]
1039,1856,triangles,[0.475     0.95      0.0316667]
588,1152,triangles,[0.530623  0.95      0.0526375]
245,528,triangles,[0.29538  0.95     0.079125]
928,1568,triangles,[0.450837 0.95     0.06554 ]
634,1152,triangles,[0.0123238 0.95      0.503047 ]
548,1024,triangles,[0.542857 0.95     0.027143]
245,528,triangles,[0.29538  0.95     0.079125]
138,816,triangles,[1.213114 1.101175 0.699277]
90,528,triangles,[0.25261 0.25261 0.0762 ]
732,1408,triangles,[0.074219 0.95     0.17627 ]
1047,1920,triangles,[0.259805 0.95     0.224998]
616,1216,triangles,[0.146154 0.95     0.343539]
308,520,triangles,[0.243671 0.614117 0.95    ]
422,768,triangles,[0.95     0.284109 0.365835]
897,1664,triangles,[0.633333 0.95     0.95    ]
802,1408,triangles,[0.655247 0.57882  0.95    ]
288,520,triangles,[0.610711 0.169645 0.95    ]
516,1216,triangles,[0.698517 0.148779 0.95    ]
290,576,triangles,[0.62402  0.111765 0.95    ]
336,1992,triangles,[0.579933 0.516643 0.044   ]
718,1440,triangles,[0.520599 0.775831 0.95    ]
418,736,triangles,[0.95     0.39884  0.322871]
942,1920,triangles,[0.95     0.451364 0.582607]
294,576,triangles,[0.95     0.35625  0.252356]
385,704,triangles,[0.95  0.475 0.475]
336,720,triangles,[0.95     0.827445 0.827414]
546,1088,triangles,[0.633333 0.95     0.316667]
918,1568,triangles,[0.859711 0.95     0.745083]
970,1920,triangles,[0.682366 0.95     0.682366]
286,528,triangles,[0.438793 0.95     0.364385]
330,624,triangles,[0.867086 0.872381 0.95    ]
703,1184,triangles,[0.94843  0.807675 0.95    ]
980,1920,triangles,[1.902489 1.089726 0.771358]
344,664,triangles,[1.866936 0.781109 0.546248]
1026,1936,triangles,[0.685369 0.623973 0.95    ]
738,1472,triangles,[0.545807 0.415659 0.95    ]
248,736,triangles,[0.870906 0.95     0.867876]
812,1408,triangles,[0.95     0.330804 0.407143]
482,832,triangles,[0.95     0.639286 0.949996]
686,1344,triangles,[0.95     0.326352 0.95    ]
723,1376,triangles,[0.95     0.633333 0.316667]
354,688,triangles,[0.95 0.95 0.95]
486,960,triangles,[0.95     0.534375 0.475   ]
902,1600,triangles,[0.95     0.402148 0.95    ]
902,1600,triangles,[0.95     0.301611 0.593752]
609,1072,triangles,[0.95    0.81605 0.95   ]
486,960,triangles,[0.95  0.475 0.475]
490,960,triangles,[0.95     0.611563 0.475   ]
354,688,triangles,[0.95     0.38     0.633333]
1005,1984,triangles,[0.830996 0.95     0.87872 ]
322,624,triangles,[1.546931 0.426666 0.426672]
468,896,triangles,[1.795847 0.333196 0.214741]
894,1728,triangles,[1.850651 0.371049 0.347535]
714,1408,triangles,[0.95     0.510625 0.903504]
714,1408,triangles,[0.786207 0.95     0.747727]
805,1600,triangles,[0.95     0.534375 0.903504]
282,560,triangles,[0.95     0.738889 0.95    ]
866,1696,triangles,[1.975105 1.954001 0.493352]
744,1408,triangles,[0.760639 0.95     0.238024]
953,1920,triangles,[0.814286 0.95     0.271429]
352,816,triangles,[0.949269 0.95     0.168419]
439,704,triangles,[0.95     0.791667 0.475   ]
784,1536,triangles,[0.95     0.766105 0.383053]
1098,1792,triangles,[0.95  0.475 0.095]
686,1344,triangles,[0.95     0.763295 0.266699]
325,624,triangles,[0.213483 0.818388 0.95    ]
812,1376,triangles,[0.404    0.95     0.047555]
641,1248,triangles,[0.571402 0.95     0.058778]
466,832,triangles,[0.293634 0.95     0.019992]
614,1216,triangles,[0.95     0.91733  0.079207]
262,1452,triangles,[0.133276 0.022645 0.00685 ]
294,832,triangles,[0.176067 0.95     0.031667]
292,560,triangles,[0.432911 0.95     0.411723]
1134,1984,triangles,[0.393527 0.95     0.00342 ]
530,1088,triangles,[0.590957 0.95     0.500106]
284,512,triangles,[0.95     0.95     0.665144]
