file_path,genre,shape_name,num_vertices,num_faces,face_types,bounding_box
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1337.obj,AircraftBuoyant,m1337,201,340,triangles,[0.864234 0.95     0.864234]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1338.obj,AircraftBuoyant,m1338,8761,16960,triangles,[0.908058 0.95     0.912901]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1339.obj,AircraftBuoyant,m1339,1878,6173,triangles,[0.582072 0.95     0.601812]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1340.obj,AircraftBuoyant,m1340,778,1457,triangles,[0.342686 0.95     0.342689]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1341.obj,AircraftBuoyant,m1341,425,824,triangles,[0.354575 0.95     0.354575]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1342.obj,AircraftBuoyant,m1342,1252,2305,triangles,[0.586587 0.95     0.58436 ]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1343.obj,AircraftBuoyant,m1343,178,344,triangles,[0.685921 0.95     0.685921]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1344.obj,AircraftBuoyant,m1344,1093,1930,triangles,[0.649099 0.95     0.6491  ]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1345.obj,AircraftBuoyant,m1345,3174,6000,triangles,[0.576277 0.95     0.576277]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1346.obj,AircraftBuoyant,m1346,742,1375,triangles,[0.297079 0.329725 0.95    ]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1347.obj,AircraftBuoyant,m1347,3055,6274,triangles,[0.287086 0.394881 0.95    ]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1348.obj,AircraftBuoyant,m1348,795,1382,triangles,[0.296693 0.329958 0.95    ]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1349.obj,AircraftBuoyant,m1349,432,640,triangles,[0.95     0.360203 0.248648]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1350.obj,AircraftBuoyant,m1350,1097,1976,triangles,[0.95     0.266317 0.280022]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1351.obj,AircraftBuoyant,m1351,12987,24466,triangles,[0.1833   0.194243 0.95    ]
./ShapeDatabase_INFOMR-master/AircraftBuoyant/m1352.obj,AircraftBuoyant,m1352,3298,6348,triangles,[0.95     0.351642 0.307621]
./ShapeDatabase_INFOMR-master/Apartment/D00045.obj,Apartment,D00045,14865,21021,triangles,[1.442213 1.47133  0.88627 ]
./ShapeDatabase_INFOMR-master/Apartment/D00086.obj,Apartment,D00086,20462,42064,triangles,[1.784045 1.668307 0.709348]
./ShapeDatabase_INFOMR-master/Apartment/D00138.obj,Apartment,D00138,10710,21140,triangles,[1.559021 1.147692 0.516668]
./ShapeDatabase_INFOMR-master/Apartment/D00156.obj,Apartment,D00156,11745,19380,triangles,[1.700648 1.584903 1.233871]
./ShapeDatabase_INFOMR-master/Apartment/D00310.obj,Apartment,D00310,5934,9480,triangles,[1.777636 0.883673 0.708209]
